Year,Average CO monthly,Average Ozone,PM10,PM25,NO2,,Hospitlizations Count
2000,33.48387,31.19355,19.80645,68.07407,51.64516,,4486
,33.93103,36.55172,23.47619,74.6,65.37931,,3538
,32,43.58065,21.86667,58.12903,63.22581,,3292
,27.63333,50.26667,27.42857,54.5,58.26667,,3148
,28.77419,82.35484,29.27778,63.06452,66.22581,,3283
,27.2,102.7333,27.8,70.66667,67.43333,,2878
,24.83871,82.06452,21.12903,62.12903,58.25806,,1986
,28,72.83871,24.3871,67.58065,58.77419,,2102
,24.86667,50.66667,21.5,59.86667,55.93333,,3871
,30.48387,45.06452,27.09677,66.25806,56.87097,,4493
,27.26667,24.96667,18.06667,61.16667,44.4,,3765
,30.09677,26.41935,19.67742,66.19355,47.80645,,3715
2001,26,32,24,80,75,,3915
,28.53571429,32.25,19.6785714,73.3214286,51.67857143,,3332
,24.19354839,40.58064516,18.2580645,61.9032258,52.80645161,,3810
,23.43333333,60.46666667,26.3333333,62.7666667,59.16666667,,3421
,25.61290323,80,29,59.0967742,63.96774194,,3854
,25.3,112.6333333,27.0384615,71.8666667,64.03333333,,2550
,19.61290323,99.06451613,37,57.6774194,59.4516129,,1981
,23.90322581,123.0322581,44,81.1935484,69,,2199
,23.16666667,62.63333333,33.4,54.0666667,55.53333333,,3144
,24.29032258,35.82258065,43.6428571,51.0952381,57.85483871,,4297
,25.2,30.73333333,32.6333333,62,52.7,,3857
,24.5483871,23.88709677,24.8548387,42.3870968,53.59677419,,3908
2002,21,29.5,21,52,38,,4601
,21,34.78571429,25.25,54.5357143,53.32142857,,3646
,23,41.35483871,28.4193548,58.6129032,55.29032258,,3468
,19.16666667,59.16666667,27.2068966,52.0666667,60.43333333,,3107
,20.25806452,67.41935484,27.6129032,51.0967742,58.29032258,,3421
,19.73333333,115.6666667,29.9,69.7666667,67.7,,2497
,18.22580645,135.1612903,35.8333333,80.9677419,64.16129032,,2141
,20.06451613,128.483871,30.6,64.7419355,65.29032258,,1956
,21.23333333,73.13333333,24.1,48.1,54.73333333,,3415
,20.41935484,29.59677419,29.2419355,32.5,47.41935484,,4369
,23.73333333,29.1,20.0333333,59.1333333,51.36666667,,4034
,22.41935484,26.06451613,25,39,54.17741935,,3956
2003,20.5,21,26,82.5,44.5,,3750
,21.10714286,34.85714286,28.5714286,69.3571429,54.46428571,,3176
,22.74193548,45.90322581,27,64.5483871,55.96774194,,3833
,19.8,60.63333333,24.6333333,53.6666667,57.96666667,,3600
,22.29032258,53.38709677,24.1612903,60.3548387,52.03225806,,4288
,23,101.4,29.1333333,73.6333333,63.03333333,,3435
,18.32258065,114.0645161,29.483871,70.7741936,61.29032258,,2455
,19.67741935,88.12903226,29.7333333,73.3666667,51.41935484,,3362
,20.66666667,46.6,22.3666667,51.1333333,44.46666667,,4485
,21.61290323,30.06451613,31.4032258,40.4032258,52.20967742,,4131
,25.13333333,30.1,29.8,61.6,48.86666667,,4153
,20.87096774,25.33870968,30.0277778,50.6388889,50.27419355,,5227
2004,18,29,#DIV/0!,79,38.5,,3610
,19.46428571,36.78571429,26.6,57.5357143,52.89285714,,3435
,19.87096774,42.80645161,26.8,60.5806452,56.09677419,,3924
,18.66666667,59.1,26.4,51.1,52.53333333,,3507
,19.5483871,81.90322581,35.2,66.7096774,61.35483871,,3880
