Year,Average CO monthly,Average Ozone,PM10,PM25,NO2
2000,33.48387,31.19355,19.80645,68.07407,51.64516
,33.93103,36.55172,23.47619,74.6,65.37931
,32,43.58065,21.86667,58.12903,63.22581
,27.63333,50.26667,27.42857,54.5,58.26667
,28.77419,82.35484,29.27778,63.06452,66.22581
,27.2,102.7333,27.8,70.66667,67.43333
,24.83871,82.06452,21.12903,62.12903,58.25806
,28,72.83871,24.3871,67.58065,58.77419
,24.86667,50.66667,21.5,59.86667,55.93333
,30.48387,45.06452,27.09677,66.25806,56.87097
,27.26667,24.96667,18.06667,61.16667,44.4
,30.09677,26.41935,19.67742,66.19355,47.80645
2001,26,32,24,80,75
,28.53571429,32.25,19.67857143,73.32142857,51.67857143
,24.19354839,40.58064516,18.25806452,61.90322581,52.80645161
,23.43333333,60.46666667,26.33333333,62.76666667,59.16666667
,25.61290323,80,29,59.09677419,63.96774194
,25.3,112.6333333,27.03846154,71.86666667,64.03333333
,19.61290323,99.06451613,37,57.67741935,59.4516129
,23.90322581,123.0322581,44,81.19354839,69
,23.16666667,62.63333333,33.4,54.06666667,55.53333333
,24.29032258,35.82258065,43.64285714,51.0952381,57.85483871
,25.2,30.73333333,32.63333333,62,52.7
,24.5483871,23.88709677,24.85483871,42.38709677,53.59677419
2002,21,29.5,21,52,38
,21,34.78571429,25.25,54.53571429,53.32142857
,23,41.35483871,28.41935484,58.61290323,55.29032258
,19.16666667,59.16666667,27.20689655,52.06666667,60.43333333
,20.25806452,67.41935484,27.61290323,51.09677419,58.29032258
,19.73333333,115.6666667,29.9,69.76666667,67.7
,18.22580645,135.1612903,35.83333333,80.96774194,64.16129032
,20.06451613,128.483871,30.6,64.74193548,65.29032258
,21.23333333,73.13333333,24.1,48.1,54.73333333
,20.41935484,29.59677419,29.24193548,32.5,47.41935484
,23.73333333,29.1,20.03333333,59.13333333,51.36666667
,22.41935484,26.06451613,25,39,54.17741935
2003,20.5,21,26,82.5,44.5
,21.10714286,34.85714286,28.57142857,69.35714286,54.46428571
,22.74193548,45.90322581,27,64.5483871,55.96774194
,19.8,60.63333333,24.63333333,53.66666667,57.96666667
,22.29032258,53.38709677,24.16129032,60.35483871,52.03225806
,23,101.4,29.13333333,73.63333333,63.03333333
,18.32258065,114.0645161,29.48387097,70.77419355,61.29032258
,19.67741935,88.12903226,29.73333333,73.36666667,51.41935484
,20.66666667,46.6,22.36666667,51.13333333,44.46666667
,21.61290323,30.06451613,31.40322581,40.40322581,52.20967742
,25.13333333,30.1,29.8,61.6,48.86666667
,20.87096774,25.33870968,30.02777778,50.63888889,50.27419355
2004,18,29,#DIV/0!,79,38.5
,19.46428571,36.78571429,26.6,57.53571429,52.89285714
,19.87096774,42.80645161,26.8,60.58064516,56.09677419
,18.66666667,59.1,26.4,51.1,52.53333333
,19.5483871,81.90322581,35.2,66.70967742,61.35483871
,16.66666667,91.53333333,34.6,66.33333333,57.7
,18.48387097,86.4516129,35.8,65.38709677,55.77419355
,17.35483871,68.64516129,24.6,60.4516129,47.96774194
,17.36666667,52.06666667,24,48.43333333,46.46666667
,19.5483871,25.88709677,30.48648649,46.35135135,48.24193548
,20.56666667,29.3,26,50.03333333,49.86666667
,20.29032258,23.12903226,26.16666667,53.69444444,54.0483871
2005,18.5,30,27.2,71.5,53
,20.5,33.21428571,25,68.53571429,58.25
,16.25806452,44,23.8,57.19354839,56.32258065
,18,66.2,30.2,51.4,59.26666667
,16.29032258,58.70967742,33.4,47.4516129,49.38709677
,17.76666667,98.16666667,46.2,67.7,55.23333333
,15.48387097,100,43,70.06451613,52.06451613
,16.51612903,100.2580645,38.2,70.83870968,54.03225806
